cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
228.32,0,97.87,172.97,2.77,1024.96,872.75,3,25.05494505494505
194.95,0,129.97,172.3,2.76,1021.02,869.4,3,20.41978021978022
161.84,0,161.84,171.64,2.75,1017.12,866.07,3,15.429670329670328
128.98,0,193.46,170.99,2.74,1013.24,862.77,3,10.784065934065934
230.11,98.62,0,174.32,2.79,1033,879.59,3,27.303703703703704
196.99,131.32,0,174.1,2.79,1031.69,878.48,3,23.78518518518519
163.95,163.95,0,173.88,2.78,1030.38,877.36,3,20.442592592592597
130.99,196.49,0,173.66,2.78,1029.08,876.25,3,17.135185185185186
228.32,0,97.87,172.97,2.77,1024.96,872.75,7,29.690109890109888
194.95,0,129.97,172.3,2.76,1021.02,869.4,7,26.91318681318681
161.84,0,161.84,171.64,2.75,1017.12,866.07,7,22.507692307692306
128.98,0,193.46,170.99,2.74,1013.24,862.77,7,17.632417582417585
230.11,98.62,0,174.32,2.79,1033,879.59,7,32.5462962962963
196.99,131.32,0,174.1,2.79,1031.69,878.48,7,33.42592592592593
163.95,163.95,0,173.88,2.78,1030.38,877.36,7,32.898148148148145
130.99,196.49,0,173.66,2.78,1029.08,876.25,7,30.083333333333336
228.32,0,97.87,172.97,2.77,1024.96,872.75,28,45.11978021978021
194.95,0,129.97,172.3,2.76,1021.02,869.4,28,40.254945054945054
161.84,0,161.84,171.64,2.75,1017.12,866.07,28,37.35274725274726
128.98,0,193.46,170.99,2.74,1013.24,862.77,28,34.68021978021978
230.11,98.62,0,174.32,2.79,1033,879.59,28,46.28611111111111
196.99,131.32,0,174.1,2.79,1031.69,878.48,28,48.02777777777778
163.95,163.95,0,173.88,2.78,1030.38,877.36,28,47.57037037037038
130.99,196.49,0,173.66,2.78,1029.08,876.25,28,47.35925925925926
228.32,0,97.87,172.97,2.77,1024.96,872.75,91,47.56263736263736
194.95,0,129.97,172.3,2.76,1021.02,869.4,91,48.25164835164835
161.84,0,161.84,171.64,2.75,1017.12,866.07,91,46.39340659340659
128.98,0,193.46,170.99,2.74,1013.24,862.77,91,40.82912087912088
230.11,98.62,0,174.32,2.79,1033,879.59,91,49.70962962962964
196.99,131.32,0,174.1,2.79,1031.69,878.48,91,51.15222222222222
163.95,163.95,0,173.88,2.78,1030.38,877.36,91,53.900185185185194
130.99,196.49,0,173.66,2.78,1029.08,876.25,91,53.99518518518518
259.18,0,140.31,163.69,3.22,996.78,848.67,3,25.514285714285712
224.04,0,149.36,165.08,3.24,1005.21,855.85,3,22.737362637362637
185.88,0,185.88,164.35,3.23,1000.79,852.09,3,14.385714285714284
148.05,0,222.07,163.63,3.21,996.41,848.36,3,12.068131868131866
262.11,141.89,0,165.54,3.25,1008.03,858.25,3,27.58518518518519
226.73,151.15,0,167.06,3.28,1017.29,866.14,3,25.40370370370371
188.66,188.66,0,166.82,3.28,1015.81,864.88,3,20.512962962962966
150.71,226.07,0,166.58,3.27,1014.33,863.62,3,17.3462962962963
259.18,0,140.31,163.69,3.22,996.78,848.67,7,32.01813186813187
224.04,0,149.36,165.08,3.24,1005.21,855.85,7,28.760989010989007
185.88,0,185.88,164.35,3.23,1000.79,852.09,7,21.57857142857143
148.05,0,222.07,163.63,3.21,996.41,848.36,7,20.179670329670326
262.11,141.89,0,165.54,3.25,1008.03,858.25,7,38.813168724279834
226.73,151.15,0,167.06,3.28,1017.29,866.14,7,34.62222222222223
188.66,188.66,0,166.82,3.28,1015.81,864.88,7,34.059259259259264
150.71,226.07,0,166.58,3.27,1014.33,863.62,7,32.47592592592593
259.18,0,140.31,163.69,3.22,996.78,848.67,28,46.61263736263736
224.04,0,149.36,165.08,3.24,1005.21,855.85,28,43.136263736263736
185.88,0,185.88,164.35,3.23,1000.79,852.09,28,39.879120879120876
148.05,0,222.07,163.63,3.21,996.41,848.36,28,36.872527472527466
262.11,141.89,0,165.54,3.25,1008.03,858.25,28,53.62222222222223
226.73,151.15,0,167.06,3.28,1017.29,866.14,28,54.04444444444444
188.66,188.66,0,166.82,3.28,1015.81,864.88,28,50.349999999999994
150.71,226.07,0,166.58,3.27,1014.33,863.62,28,49.18888888888889
259.18,0,140.31,163.69,3.22,996.78,848.67,91,57.53241758241757
224.04,0,149.36,165.08,3.24,1005.21,855.85,91,57.76208791208791
185.88,0,185.88,164.35,3.23,1000.79,852.09,91,52.89725274725274
148.05,0,222.07,163.63,3.21,996.41,848.36,91,46.86318681318681
262.11,141.89,0,165.54,3.25,1008.03,858.25,91,58.86129629629629
226.73,151.15,0,167.06,3.28,1017.29,866.14,91,59.46085185185185
188.66,188.66,0,166.82,3.28,1015.81,864.88,91,56.852222222222224
150.71,226.07,0,166.58,3.27,1014.33,863.62,91,55.156296296296304
310.13,0,132.91,175.25,4.63,958.95,817.17,3,33.865934065934056
264.44,0,176.3,174.34,4.6,953.95,812.92,3,31.66318681318681
219.23,0,219.23,173.43,4.58,949.01,808.7,3,23.196703296703294
174.48,0,261.72,172.54,4.56,944.12,804.53,3,17.162637362637362
313.45,134.33,0,177.12,4.68,969.2,825.91,3,36.487037037037034
268.2,178.8,0,176.82,4.67,967.52,824.48,3,35.71296296296296
223.12,223.12,0,176.51,4.66,965.85,823.06,3,27.937037037037037
178.19,267.28,0,176.21,4.65,964.19,821.64,3,21.67407407407407
310.13,0,132.91,175.25,4.63,958.95,817.17,7,39.67032967032967
264.44,0,176.3,174.34,4.6,953.95,812.92,7,35.494505494505496
219.23,0,219.23,173.43,4.58,949.01,808.7,7,26.213736263736262
174.48,0,261.72,172.54,4.56,944.12,804.53,7,18.33186813186813
313.45,134.33,0,177.12,4.68,969.2,825.91,7,47.025000000000006
268.2,178.8,0,176.82,4.67,967.52,824.48,7,42.53888888888889
223.12,223.12,0,176.51,4.66,965.85,823.06,7,40.70925925925927
178.19,267.28,0,176.21,4.65,964.19,821.64,7,38.35185185185186
310.13,0,132.91,175.25,4.63,958.95,817.17,28,53.69065934065933
264.44,0,176.3,174.34,4.6,953.95,812.92,28,48.74230769230769
219.23,0,219.23,173.43,4.58,949.01,808.7,28,41.967032967032964
174.48,0,261.72,172.54,4.56,944.12,804.53,28,37.373626373626365
313.45,134.33,0,177.12,4.68,969.2,825.91,28,53.794238683127574
268.2,178.8,0,176.82,4.67,967.52,824.48,28,52.51388888888889
223.12,223.12,0,176.51,4.66,965.85,823.06,28,52.25
178.19,267.28,0,176.21,4.65,964.19,821.64,28,50.93055555555557
310.13,0,132.91,175.25,4.63,958.95,817.17,91,63.09670329670328
264.44,0,176.3,174.34,4.6,953.95,812.92,91,62.63736263736263
219.23,0,219.23,173.43,4.58,949.01,808.7,91,55.21483516483516
174.48,0,261.72,172.54,4.56,944.12,804.53,91,49.18076923076923
